Rank	Program Name	Awarded
#103	Pharmacy Technician	8,341
#104	Dental Hygienist	8,337
#105	Fire Science	8,180
#106	Spanish Language and Literature	8,083
#107	Phlebotomy	8,031
#108	Neuroscience	7,972
#109	Cinematography And Film	7,964
#110	Surgical Technologist	7,956
#111	Computer Programming	7,919
#112	Industrial Mechanics	7,712
#113	Audiology and Speech Pathology	7,709
#114	Multimedia	7,684
#115	Physical Therapist Assistant	7,650
#116	Medical Insurance Biller	7,619
#117	Entrepreneurship	7,615
#118	Philosophy	7,551
#119	Molecular Biology	7,408
#120	Geology	7,359
#121	International and Global Studies	7,321
#122	Audio and Video Production	7,298
#123	Ministry	7,140
#124	Respiratory Therapy	7,131
#125	Animal Science	7,037
#126	Statistics	6,811
#127	Osteopathy	6,700
#128	Software Engineering	6,692
#129	Reading Teacher and Literacy Specialist	6,528
#130	Dentistry	6,403
#131	Mental Health Counseling	6,368
#132	Creative Writing	6,363
#133	Theology	6,189
#134	Architecture	6,125
#135	Organizational and Nonprofit Management	6,086
#136	Substance Abuse and Addiction Counseling	6,071
#137	Aircraft Mechanic	6,033
#138	Web Design	5,566
#139	Interior Design	5,503
#140	Public Relations	5,474
#141	Operations Management	5,431
#142	Design and Visual Communications	5,385
#143	ESL	5,353
#144	Industrial Technology	5,352
#145	Medical Office Assistant	5,305
#146	Manufacturing Engineering Technician	5,300
#147	Athletic Training	5,283
#148	Clinical Psychology	5,283
#149	Real Estate	5,265
#150	Engineering Management	5,259
#151	Public Policy	5,189
#152	Auto Body	5,142
#153	Animation	5,136
#154	Geography	5,040
#155	Office Management and Supervision	5,000
#156	Occupational Therapy Assistant (OTA)	4,986
#157	Baking And Pastry	4,964
#158	Nutrition	4,759
#159	Nursing Science	4,704
#160	Hospital and Healthcare Facility Management	4,618
#161	Exercise Physiology	4,286
#162	Child Care	4,268
#163	Machinist	4,244
#164	Child Development	4,147
#165	Medical Lab Technician	4,137
#166	Talmudic Studies	4,126
#167	Carpentry	4,066
#168	Risk Management and Insurance	4,066
#169	Aviation	4,057
#170	Fashion Merchandising	4,036
#171	Higher Education Administration	3,967
#172	Fire Prevention	3,854
#173	Commercial and Advertising Art	3,825
#174	Medical Office Management	3,769
#175	Corrections Officer	3,742
#176	Dietetics	3,739
#177	Organizational Behavior Studies	3,675
#178	Medical Technology	3,663
#179	Construction Management	3,656
#180	Behavioral Science	3,649
#181	Forensic Psychology	3,596
#182	Parks and Recreation Management	3,574
#183	Biotechnology	3,567
#184	Forensic Science	3,530
#185	Materials Engineering	3,526
#186	Optometry	3,494
#187	Art History	3,487
#188	Systems Engineering	3,481
#189	Agriculture	3,464
#190	Religious Studies	3,433
#191	Sales Manager	3,388
#192	Project Management	3,338
#193	Fashion Design	3,322
#194	Nutrition	3,320
#195	Marriage and Family Therapy	3,308
#196	Veterinary Medicine	3,297
#197	Financial Planning	3,192
#198	Middle School Teacher	3,188
#199	School Psychology	3,118
#200	Christian Counseling	3,024
